Date,RI,IETC,TECB,IWY,USXF,XVV,IHAK,QUAL,SUSL,DSI,MTUM
04/01/1987,,,,,,,,,,,
05/01/1987,,,,,,,,,,,
06/01/1987,,,,,,,,,,,
07/01/1987,,,,,,,,,,,
08/01/1987,,,,,,,,,,,
09/01/1987,,,,,,,,,,,
10/01/1987,,,,,,,,,,,
11/01/1987,,,,,,,,,,,
12/01/1987,,,,,,,,,,,
01/01/1988,,,,,,,,,,,
02/01/1988,,,,,,,,,,,
03/01/1988,,,,,,,,,,,
04/01/1988,,,,,,,,,,,
05/01/1988,,,,,,,,,,,
06/01/1988,,,,,,,,,,,
07/01/1988,,,,,,,,,,,
08/01/1988,,,,,,,,,,,
09/01/1988,,,,,,,,,,,
10/01/1988,,,,,,,,,,,
11/01/1988,,,,,,,,,,,
12/01/1988,,,,,,,,,,,
01/01/1989,,,,,,,,,,,
02/01/1989,,,,,,,,,,,
03/01/1989,,,,,,,,,,,
04/01/1989,,,,,,,,,,,
05/01/1989,,,,,,,,,,,
06/01/1989,,,,,,,,,,,
07/01/1989,,,,,,,,,,,
08/01/1989,,,,,,,,,,,
09/01/1989,,,,,,,,,,,
10/01/1989,,,,,,,,,,,
11/01/1989,,,,,,,,,,,
12/01/1989,,,,,,,,,,,
01/03/1990,,,,,,,,,,,
02/01/1990,,,,,,,,,,,
03/01/1990,,,,,,,,,,,
04/01/1990,,,,,,,,,,,
05/01/1990,,,,,,,,,,,
06/01/1990,,,,,,,,,,,
07/01/1990,,,,,,,,,,,
08/01/1990,,,,,,,,,,,
09/01/1990,,,,,,,,,,,
10/01/1990,,,,,,,,,,,
11/01/1990,,,,,,,,,,,
12/01/1990,,,,,,,,,,,
01/01/1991,,,,,,,,,,,
02/01/1991,,,,,,,,,,,
03/01/1991,,,,,,,,,,,
04/01/1991,,,,,,,,,,,
05/01/1991,,,,,,,,,,,
06/01/1991,,,,,,,,,,,
07/01/1991,,,,,,,,,,,
08/01/1991,,,,,,,,,,,
09/01/1991,,,,,,,,,,,
10/01/1991,,,,,,,,,,,
11/01/1991,,,,,,,,,,,
12/01/1991,,,,,,,,,,,
01/01/1992,,,,,,,,,,,
02/01/1992,,,,,,,,,,,
03/01/1992,,,,,,,,,,,
04/01/1992,,,,,,,,,,,
05/01/1992,,,,,,,,,,,
06/01/1992,,,,,,,,,,,
07/01/1992,,,,,,,,,,,
08/01/1992,,,,,,,,,,,
09/01/1992,,,,,,,,,,,
10/01/1992,,,,,,,,,,,
11/01/1992,,,,,,,,,,,
12/01/1992,,,,,,,,,,,
01/03/1993,,,,,,,,,,,
02/01/1993,44.25,,,,,,,,,,
03/01/1993,44.28,,,,,,,,,,
04/01/1993,45.03,,,,,,,,,,
05/03/1993,44.31,,,,,,,,,,
06/01/1993,45.66,,,,,,,,,,
07/01/1993,44.94,,,,,,,,,,
08/01/1993,44.97,,,,,,,,,,
09/01/1993,46.5,,,,,,,,,,
10/01/1993,46.16,,,,,,,,,,
11/01/1993,46.97,,,,,,,,,,
12/01/1993,46.41,,,,,,,,,,
01/03/1994,46.47,,,,,,,,,,
02/01/1994,47.97,,,,,,,,,,
03/01/1994,46.63,,,,,,,,,,
04/03/1994,43.91,,,,,,,,,,
05/03/1994,45.33,,,,,,,,,,
06/01/1994,46.02,,,,,,,,,,
07/01/1994,44.56,,,,,,,,,,
08/01/1994,46.13,,,,,,,,,,
09/01/1994,47.5,,,,,,,,,,
10/01/1994,46.06,,,,,,,,,,
11/01/1994,46.95,,,,,,,,,,
12/01/1994,45.14,,,,,,,,,,
01/03/1995,45.78,,,,,,,,,,
02/01/1995,47.08,,,,,,,,,,
03/01/1995,48.7,,,,,,,,,,
04/01/1995,50.23,,,,,,,,,,
05/01/1995,51.45,,,,,,,,,,
06/01/1995,53.5,,,,,,,,,,
07/01/1995,54.61,,,,,,,,,,
08/01/1995,56.06,,,,,,,,,,
09/01/1995,56.66,,,,,,,,,,
10/01/1995,58.19,,,,,,,,,,
11/01/1995,58.78,,,,,,,,,,
12/01/1995,60.98,,,,,,,,,,
01/03/1996,62.31,,,,,,,,,,
02/01/1996,63.91,,,,,,,,,,
03/01/1996,64.89,,,,,,,,,,
04/01/1996,65.44,,,,,,,,,,
05/01/1996,65.53,,,,,,,,,,
06/01/1996,67.06,,,,,,,,,,
07/01/1996,67.69,,,,,,,,,,
08/01/1996,65.16,,,,,,,,,,
09/03/1996,65.75,,,,,,,,,,
10/01/1996,69,,,,,,,,,,
11/01/1996,70.59,,,,,,,,,,
12/01/1996,76.05,,,,,,,,,,
01/03/1997,75.09,,,,,,,,,,
02/01/1997,78.64,,,,,,,,,,
03/01/1997,79.69,,,,,,,,,,
04/01/1997,75.86,,,,,,,,,,
05/01/1997,80,,,,,,,,,,
06/01/1997,84.78,,,,,,,,,,
07/01/1997,89.34,,,,,,,,,,
08/01/1997,94.94,,,,,,,,,,
09/03/1997,92.81,,,,,,,,,,
10/01/1997,95.63,,,,,,,,,,
11/01/1997,94,,,,,,,,,,
12/01/1997,98.09,,,,,,,,,,
01/03/1998,97.78,,,,,,,,,,
02/01/1998,99.94,,,,,,,,,,
03/01/1998,104.91,,,,,,,,,,
04/01/1998,110.83,,,,,,,,,,
05/01/1998,112.59,,,,,,,,,,
06/01/1998,109.53,,,,,,,,,,
07/01/1998,114.63,,,,,,,,,,
08/01/1998,111.31,,,,,,,,,,
09/01/1998,100.06,,,,,,,,,,
10/01/1998,98.81,,,,,,,,,,
11/01/1998,111.88,,,,,,,,,,
12/01/1998,117.63,,,,,,,,,,
01/03/1999,123.03,,,,,,,,,,
02/01/1999,126.91,,,,,,,,,,
03/01/1999,123.91,,,,,,,,,,
04/01/1999,129.34,,,,,,,,,,
05/01/1999,135.69,,,,,,,,,,
06/01/1999,129.75,,,,,,,,,,
07/01/1999,138.03,,,,,,,,,,
08/01/1999,133.06,,,,,,,,,,
09/01/1999,133.69,,,,,,,,,,
10/01/1999,128.47,,,,,,,,,,
11/01/1999,135.56,,,,,,,,,,
12/01/1999,140.41,,,,,,,,,,
01/01/2000,145.44,,,,,,,,,,
02/01/2000,140.94,,,,,,,,,,
03/01/2000,138.44,,,,,,,,,,
04/01/2000,151.25,,,,,,,,,,
05/01/2000,147.06,,,,,,,,,,
06/01/2000,145.31,,,,,,,,,,
07/01/2000,147.28,,,,,,,,,,
08/01/2000,143.88,,,,,,,,,,
09/01/2000,152.38,,,,,,,,,,
10/01/2000,143.84,,,,,,,,,,
11/01/2000,142.47,,,,,,,,,,
12/01/2000,132.22,,,,,,,,,,
01/03/2001,135,,,,,,,,,,
02/01/2001,137.93,,,,,,,,,,
03/01/2001,124.6,,,,,,,,,,
04/01/2001,114.2,,,,,,,,,,
05/01/2001,127.05,,,,,,,,,,
06/01/2001,126.73,,,,,,,,,,
07/01/2001,124.13,,,,,,,,,,
08/01/2001,122.11,,,,,,,,,,
09/04/2001,113.42,,,,,,,,,,
10/01/2001,104.27,,,,,,,,,,
11/01/2001,108.51,,,,,,,,,,
12/01/2001,113.37,,,,,,,,,,
01/03/2002,116.84,,,,,,,,,,
02/01/2002,112.65,,,,,,,,,,
03/01/2002,113.74,,,,,,,,,,
04/01/2002,114.57,,,,,,,,,,
05/01/2002,109.18,,,,,,,,,,
06/01/2002,104.37,,,,,,,,,,
07/01/2002,97.03,,,,,,,,,,
08/01/2002,88.78,,,,,,,,,,
09/03/2002,88.28,,,,,,,,,,
10/01/2002,85.72,,,,,,,,,,
11/01/2002,90.27,,,,,,,,,,
12/01/2002,94.13,,,,,,,,,,
01/03/2003,91.35,,,,,,,,,,
02/01/2003,86.23,,,,,,,,,,
03/01/2003,84.09,,,,,,,,,,
04/01/2003,86.04,,,,,,,,,,
05/01/2003,91.9,,,,,,,,,,
06/01/2003,97.35,,,,,,,,,,
07/01/2003,98.53,,,,,,,,,,
08/01/2003,98.51,,,,,,,,,,
09/03/2003,103.36,,,,,,,,,,
10/01/2003,102.08,,,,,,,,,,
11/01/2003,105.99,,,,,,,,,,
12/01/2003,107.6,,,,,,,,,,
01/03/2004,112.44,,,,,,,,,,
02/01/2004,113.97,,,,,,,,,,
03/01/2004,116.16,,,,,,,,,,
04/01/2004,113.78,,,,,,,,,,
05/01/2004,112.15,,,,,,,,,,
06/01/2004,112.71,,,,,,,,,,
07/01/2004,112.94,,,,,,,,,,
08/01/2004,111.07,,,,,,,,,,
09/01/2004,111.32,,,,,,,,,,
10/01/2004,113.65,,,,,,,,,,
11/01/2004,113.51,,,,,,,,,,
12/01/2004,119.23,,,,,,,,,,
01/01/2005,120.3,,,,,,,,,,
02/01/2005,118.91,,,,,,,,,,
03/01/2005,121.23,,,,,,,,,,
04/01/2005,117.43,,,,,,,,,,
05/01/2005,116.4,,,,,,,,,,
06/01/2005,120.5,,,,,,,,,,
07/01/2005,119.53,,,,,,,,,,
08/01/2005,123.65,,,,,,,,,,
09/01/2005,122.49,,,,,,,,,,
10/01/2005,122.6,,,,,,,,,,
11/01/2005,120.49,,,,,,,,,,
12/01/2005,126.69,,,,,,,,,,
01/03/2006,126.7,,,,,,,,,,
02/01/2006,128.39,,,,,,,,,,
03/01/2006,129.37,,,,,,,,,,
04/01/2006,129.73,,,,,,,,,,
05/01/2006,130.4,,,,,,,,,,
06/01/2006,128.73,,,,,,,,,,
07/05/2006,127.07,,,,,,,,,,
08/01/2006,127.22,,,,,,,,,,
09/01/2006,131.42,,,,,,,,,,
10/01/2006,133.08,,,,,,,,,,
11/01/2006,136.86,,,,,,,,,,
12/01/2006,140.22,,,,,,,,,25.12,
01/03/2007,141.37,,,,,,,,,25.53,
02/01/2007,144.61,,,,,,,,,26.04,
03/01/2007,140.51,,,,,,,,,25.3,
04/01/2007,142.16,,,,,,,,,25.29,
05/01/2007,148.67,,,,,,,,,26.55,
06/01/2007,154.08,,,,,,,,,27.31,
07/01/2007,151.79,,,,,,,,,26.83,
08/01/2007,146.43,,,,,,,,,25.78,
09/04/2007,149.08,,,,,,,,,26.36,
10/01/2007,154.3,,,,,,,,,27.34,
11/01/2007,151.03,,,,,,,,,27.09,
12/01/2007,147.68,,,,,,,,,26.27,
01/03/2008,144.86,,,,,,,,,25.39,
02/01/2008,139.58,,,,,,,,,24.68,
03/01/2008,133.5,,,,,,,,,23.32,
04/01/2008,136.61,,,,,,,,,24.06,
05/01/2008,141.12,,,,,,,,,24.92,
06/01/2008,138.9,,,,,,,,,24.5,
07/01/2008,128.38,,,,,,,,,22.48,
08/01/2008,126.16,,,,,,,,,22.39,
09/03/2008,127.88,,,,,,,,,23.02,
10/01/2008,116.06,,,,,,,,,21.39,
11/01/2008,97.11,,,,,,,,,17.91,
12/01/2008,82.11,,,,,,,,,15.05,
01/03/2009,92.85,,,,,,,,,16.86,
02/01/2009,82.58,,,,,,,,,15.22,
03/01/2009,70.6,,,,,,,,,13.25,
04/01/2009,81.06,,,,,,,,,15.19,
05/01/2009,87.89,,,,,,,,,16.36,
06/01/2009,94.77,,,,,,,,,17.71,
07/01/2009,92.33,,,,,,,,,17.35,
08/01/2009,100.44,,,,,,,,,18.96,
09/01/2009,100.2,,,,,,,,,18.98,
10/01/2009,103,,,24.67,,,,,,19.52,
11/01/2009,104.32,,,24.93,,,,,,19.7,
12/01/2009,111.3,,,26.86,,,,,,21.06,
01/03/2010,113.33,,,27.25,,,,,,21.64,
02/01/2010,109.06,,,25.97,,,,,,20.86,
03/01/2010,111.89,,,26.65,,,,,,21.42,
04/01/2010,117.8,,,27.8,,,,,,22.46,
05/01/2010,120.35,,,28.15,,,,,,23.02,
06/01/2010,107.53,,,25.43,,,,,,20.67,
07/01/2010,102.76,,,24.27,,,,,,19.41,
08/01/2010,112.76,,,26.49,,,,,,21.29,
09/01/2010,108.46,,,25.33,,,,,,20.29,
10/01/2010,114.61,,,27.17,,,,,,21.43,
11/01/2010,118.53,,,28.54,,,,,,22.23,
12/01/2010,121.01,,,29.24,,,,,,22.66,
01/01/2011,127.05,,,30.2,,,,,,23.67,
02/01/2011,130.74,,,31.25,,,,,,24.17,
03/01/2011,130.93,,,31.23,,,,,,24.1,
04/01/2011,133.15,,,31.51,,,,,,24.36,
05/01/2011,136.22,,,32.31,,,,,,25.04,
06/01/2011,131.87,,,31.33,,,,,,24.48,
07/01/2011,133.92,,,31.99,,,,,,24.83,
08/01/2011,128.78,,,31.39,,,,,,23.73,
09/01/2011,120.94,,,29.7,,,,,,22.39,
10/01/2011,109.93,,,27.38,,,,,,20.55,
11/01/2011,122,,,30.07,,,,,,22.67,
12/01/2011,124.97,,,30.9,,,,,,23.36,
01/03/2012,127.5,,,31.23,,,,,,23.67,
02/01/2012,132.47,,,32.68,,,,,,24.6,
03/01/2012,137.73,,,34.2,,,,,,25.35,
04/01/2012,141.84,,,35.48,,,,,,26.13,
05/01/2012,140.74,,,35.17,,,,,,25.92,
06/01/2012,128.16,,,32.19,,,,,,23.54,
07/01/2012,136.51,,,33.94,,,,,,24.73,
08/01/2012,137.59,,,34.36,,,,,,24.87,
09/04/2012,141.03,,,35.26,,,,,,25.56,
10/01/2012,144.35,,,35.86,,,,,,26.08,
11/01/2012,142.83,,,35.06,,,,,,25.83,
12/01/2012,141.45,,,35.02,,,,,,25.66,
01/03/2013,145.73,,,35.48,,,,,,26.48,
02/01/2013,151.24,,,36.3,,,,,,27.77,
03/01/2013,152.11,,,36.5,,,,,,28.05,
04/01/2013,156.05,,,37.35,,,,,,28.91,
05/01/2013,158.28,,,38.15,,,,,,29.44,51.8
06/01/2013,164.35,,,39.28,,,,,,30.73,51.71
07/01/2013,161.36,,,38.43,,,,,,30.35,51.47
08/01/2013,170.66,,,40.3,,,,,,31.89,54.9
09/03/2013,164.39,,,39.36,,,,,,30.7,52.8
10/01/2013,169.34,,,41.06,,,,,,31.71,54.34
11/01/2013,176.21,,,42.94,,,,,,33.04,57.03
12/01/2013,180.53,,,44.11,,,,,,33.6,58.31
01/03/2014,182.89,,,44.67,,,,,,34.27,59.51
02/01/2014,174.17,,,42.67,,,,,,32.68,57.07
03/01/2014,184.98,,,45.38,,,,,,34.78,62.04
04/01/2014,188.25,,,45.69,,,,,,35.4,61.05
05/01/2014,188.33,,,45.59,,,,,,35.12,59.88
06/01/2014,192.9,,,47.07,,,,,,35.99,62.35
07/01/2014,197.03,,,48.19,,,,,,36.82,63.81
08/01/2014,192.5,,,46.93,,,,,,36.03,62.61
09/03/2014,200.5,,,48.95,,,,,,37.51,65.68
10/01/2014,194.35,,,47.9,,,,,,36.23,63.92
11/01/2014,201.77,,,49.8,,,,,,37.53,66.46
12/01/2014,205.76,,,50.85,,,,16.43,,38.25,68.37
01/03/2015,201.76,,,49.52,,,,16.84,,37.64,67.07
02/01/2015,201.92,,,50.15,,,,17.38,,37.59,68.09
03/01/2015,211.99,,,53.26,,,,18.33,,39.41,71.7
04/01/2015,205.7,,,51.55,,,,18.34,,38.47,69.72
05/01/2015,210.72,,,52.92,,,,18.28,,38.98,70.63
06/01/2015,211.57,,,53.27,,,,18.64,,39.16,71.97
07/01/2015,207.5,,,52.57,,,,18.02,,38.37,72.11
08/01/2015,209.79,,,53.89,,,,19.22,,38.78,74.07
09/01/2015,191.77,,,49.28,,,,18.44,,35.43,67.81
10/01/2015,192.13,,,49.73,,,,18.49,,35.35,68.79
11/01/2015,210.39,,,54.77,,,,19.67,,39.03,73.57
12/01/2015,210.68,,,55,,,,19.43,,39.03,74.44
01/03/2016,201.02,,,52.53,,,,19.03,,37.26,71.81
02/01/2016,193.65,,,51.08,,,,18.72,,35.98,70.88
03/01/2016,198.11,,,51.94,,,,18.81,,36.63,71.2
04/01/2016,206.92,,,54.3,,,,18.45,,38.64,73.9
05/01/2016,207.97,,,53.53,,,,18.33,,38.54,73.56
06/01/2016,210.27,,,54.2,,,,19.36,,38.87,74.63
07/01/2016,209.92,,,54.11,,,,18.28,,38.8,76.47
08/01/2016,216.94,,,56.32,,,,18.99,,40.17,78.57
09/01/2016,217.39,,,55.79,,,,18.88,,40.46,77.41
10/01/2016,215.78,,,55.72,,,,18.78,,40.13,77.09
11/01/2016,211.01,,,54.46,,,,17.97,,38.98,75.14
12/01/2016,219.57,,,55.19,,,,18.62,,40.5,74
01/03/2017,225.24,,,56.75,,,,19.75,,41.53,76.08
02/01/2017,227.62,,,58.41,,,,18.89,,41.97,78.43
03/01/2017,239.78,,,61.68,,,,19.91,,43.98,82.07
04/01/2017,235.33,,,61.42,,,,20.28,,43.28,82.65
05/01/2017,238.68,,,63.31,,,,20.81,,44.13,85.22
06/01/2017,243.36,,,65.07,,,,22.01,,44.93,89.45
07/01/2017,242.21,,,64.13,,,,20.34,,44.69,88.89
08/01/2017,247.32,,,66.22,,,,19.84,,45.75,92.26
09/01/2017,247.84,,,67.48,,,,19.85,,45.66,93.57
10/01/2017,252.32,,,67.91,,,,20.62,,46.66,96.07
11/01/2017,257.49,,,70.67,,,,21.57,,47.69,100.27
12/01/2017,264.46,,,72.47,,,,22.52,,48.64,102.67
01/03/2018,270.47,,,74.52,,,,22.34,,49.84,104.98
02/01/2018,281.58,,,78.28,,,,22.61,,52.06,111.5
03/01/2018,267.7,,,75.4,,,,22.19,,49.41,108.01
04/01/2018,257.47,23.26,,71.93,,,,22.56,,47.66,102.58
05/01/2018,264.98,24.26,,74.5,,,,22.93,,49.29,107.11
06/01/2018,273.6,26.07,,78.43,,,,23.35,,51.04,111.87
07/01/2018,271.86,25.95,,78.77,,,,23.32,,50.64,110.17
08/01/2018,280.86,26.79,,80.86,,,,24.13,,52.01,111.86
09/01/2018,289.81,28.39,,84.7,,,,25.6,,53.15,118.57
10/01/2018,291.73,28.32,,85.82,,,,25.71,,53.58,119.62
11/01/2018,273.51,25.74,,78.97,,,,23.98,,49.75,109.14
12/01/2018,279.3,25.9,,79.73,,,,23.77,,51.35,110.17
01/01/2019,250.18,23.2,,71.67,,,,22.53,,46.47,99.56
02/01/2019,270.06,25.28,,77.38,,,,23.76,,50.38,106.9
03/01/2019,280.42,26.71,,80.56,,,,25.51,,52.37,110.87
04/01/2019,285.83,27.97,,83.15,,,,26.21,,53.38,112.57
05/01/2019,291.81,29.18,,85.51,,,,26.97,,54.25,113.83
06/01/2019,274.57,26.34,,79.21,,,,25.71,47.15,51.08,111.43
07/01/2019,295.66,29.37,,86.6,,,25.8,27.32,50.73,55.12,119.84
08/01/2019,294.84,29.88,,87.11,,,26.5,27.94,50.59,55.36,120.55
09/01/2019,290.74,28.96,,86.34,,,24.89,27.96,50.44,54.38,120.41
10/01/2019,293.24,29.02,,86.31,,,24.55,28.24,50.93,54.72,117.97
11/01/2019,306.14,30.45,,90.44,,,26.01,28.89,52.74,57.05,120.48
12/01/2019,311.64,31.28,,92.56,,,27,30.49,53.85,58.17,122.52
01/01/2020,324.87,33.22,,97.91,,,27.22,30.56,55.97,60.62,125.98
02/01/2020,324.12,34.63,25.83,100.28,,,28.3,32.08,56.77,61.16,131.5
03/01/2020,309.09,33.38,25.42,97.07,,,26.5,30.42,53.7,58.38,126.73
04/01/2020,246.15,27.79,21.54,80.54,,,24.06,28.79,43.04,46.66,101.29
05/01/2020,282.79,32.59,25.01,93.78,,,27.02,30.42,49.43,53.61,116.03
06/01/2020,305.55,36.1,27.95,102.52,,,31.89,31.26,53.56,58.19,126.6
07/01/2020,310.52,38.7,29.47,108.23,25.74,,31.68,30.99,54.25,59.39,132.78
08/03/2020,328.79,41.39,31.18,116.42,27.49,,34.04,31.78,56.93,62.36,141.94
09/01/2020,352.6,45.9,34.13,130.31,29.24,,35.88,32.84,60.65,67.19,155.26
10/01/2020,337.04,42.94,32.51,122.75,28.18,25.86,33.31,32.4,58.4,64.4,149.25
11/01/2020,330.2,41.22,30.72,117.01,27.6,25.29,30.9,32.09,57.24,63.27,142.35
12/01/2020,366.02,45.98,34.17,129.22,30.62,28.04,34.51,34.01,63.39,70,156.34
01/01/2021,368.79,46.74,34.61,131.07,30.94,28.23,39.65,33.46,64.08,70.61,160.07
02/01/2021,376.23,48.53,35.98,134.7,31.6,28.83,41.57,33.71,65.46,72.09,167.9
03/01/2021,389.58,49.5,36.63,134.71,32.79,29.78,40.59,33.42,67.79,74.97,167.9
04/01/2021,400.61,49.56,36.1,136.54,33.56,30.65,38.81,35.58,70.05,77.33,163.41
05/01/2021,418.2,51.69,37.21,143.58,34.98,32.04,40.38,36.16,72.95,80.44,171.03
06/01/2021,419.67,51.28,37.06,141.37,35.17,32.11,40.76,36.48,73.2,80.92,171.6
07/01/2021,430.43,55.1,40.08,151.1,36.41,33.05,43.04,39.02,75.42,83.27,173.73
08/01/2021,437.59,56.79,41.1,156.18,37.13,33.69,44.12,41.29,77.2,85.01,174.89
09/01/2021,451.8,59.53,43.46,162.55,38.16,34.88,46.07,42.37,79.68,87.66,182.04
10/01/2021,434.24,56.53,41.31,154.33,36.43,33.45,43.9,40.25,76.41,84.46,177.38
11/01/2021,460.04,59.73,42.94,166.21,38.59,35.48,47.07,41.4,82.72,91.15,192.64
12/01/2021,450.5,59.32,41.29,166.84,37.57,34.84,43.3,43.37,80.33,88.48,179.23
01/01/2022,477.71,61.52,41.92,175.1,39.25,36.94,44.42,44.58,84.71,93.34,182.21
02/01/2022,452.95,56.71,37.94,160.95,36.56,34.77,40.68,42.18,79.51,87.44,167.31
03/01/2022,429.98,52.61,35.19,149.9,34.34,32.68,41.73,38.48,75.32,82.58,158.45
04/01/2022,452.92,55.26,36.48,158.97,35.89,34.43,42.82,39.05,79.43,86.81,168.54
05/01/2022,414.48,48.53,32.01,140.9,32.84,31.31,39.43,37.94,72.9,79.32,148.89
06/01/2022,409.59,46.29,30.66,135.38,32.18,30.83,37.21,36.5,71.17,77.5,145.64
07/01/2022,381.24,42.59,28.37,126.37,30.03,28.67,35.66,35.06,66.81,72.46,137.83
08/01/2022,410.77,47.26,30.88,139.76,32.56,31.01,36.75,37.37,71.58,77.98,142.38
09/01/2022,396.42,44.56,29.14,133.51,30.9,29.82,35.69,35.94,68.33,74.39,141.11
10/01/2022,366.61,40.65,26.84,122.14,28.69,27.47,34.69,34.64,63.1,68.48,134.79
11/01/2022,384.52,40.66,27.92,124.34,29.93,28.63,35.38,37.03,66,71.49,147.39
12/01/2022,407.38,43.71,29.73,131.28,32.46,30.42,35.88,37.91,70.88,76.94,152.01
01/01/2023,380.82,40.89,27.32,119.51,30.68,28.35,33.06,36.02,66.15,71.63,143.6
02/01/2023,410.8,45.04,31.52,132.57,33.35,30.81,35.09,37.22,71.36,77.94,144.01
03/01/2023,394.74,43.38,30.09,127.83,31.97,29.63,34.42,37.36,68.59,74.94,140.01
04/01/2023,410.95,47.12,33.15,139.19,33.09,30.96,36.1,40.45,71.39,78,141.83
05/01/2023,415.51,47.08,32.77,141.04,33.37,31.34,33.45,41.42,72.11,78.35,142.66
06/01/2023,421.82,52.2,36.22,150.73,34.14,32.04,36.74,43.3,73.56,80.06,136.85
07/01/2023,443.79,55.07,37.83,158.67,36,33.78,37.81,44.09,77.57,84.39,143.75
08/01/2023,456.48,57.12,39.38,163.72,37.13,34.75,39.81,45.77,79.76,86.99,146.77
09/01/2023,451.19,57.01,39.05,163.05,36.93,34.37,39.83,46.47,79.7,86.18,147.26
10/01/2023,427.31,53.67,36.77,155.46,34.66,32.48,38.54,44.75,75.51,81.45,139.76
11/01/2023,422.66,53.57,36.21,155.02,34.24,32.15,37.02,44.38,74.21,80.02,139.56
12/01/2023,459.1,59.75,40.77,169.06,37.96,35.07,42.49,46.07,81.54,87.62,150.51
01/01/2024,472.65,61.13,42.14,172.63,39.39,36.11,44.31,46.95,83.89,90.47,154.02
02/01/2024,489.2,65.86,45.49,183.05,41.57,37.57,46.97,50.8,87.43,94.09,168.48
03/02/2024,512.3,71.18,47.97,193.42,44.43,39.46,48.39,54.32,91.72,98.41,187.73
04/01/2024,522.16,70.99,47.91,195.34,44.95,40.17,46.64,54.97,93.84,100.76,187.55
05/01/2024,500.35,66.14,44.79,186.72,42.12,38.35,44.36,52.65,89.37,95.54,175.29
